Libellé,État,Cours,Var.(%),Date,Var % 31/12,Ouverture,+ Haut,+ Bas,Composition
MADEX,AUT,10807.69,-,31/12/2021,+17.60,10845.15,-,-,Composition
MASI,AUT,18474.97,+0.38,16:00,+25.06,18405.66,18511.77,18382.18,Composition
