Heure;Valeur
14:13;18041.2873
14:13;18040.08
14:13;18036.6956
14:12;18036.6466
14:10;18036.8979
14:10;18037.7023
14:10;18038.1045
14:10;18038.5067
14:10;18041.322
14:09;18044.5396
14:08;18044.2349
14:08;18044.8211
14:08;18041.6036
14:08;18038.3007
14:08;18041.5183
14:08;18041.9205
14:08;18042.9255
14:08;18042.9597
14:08;18042.9939
14:08;18043.0965
14:08;18043.2674
14:08;18043.3016
14:08;18043.3358
14:08;18043.4383
14:08;18043.6093
14:08;18043.9511
14:08;18043.9853
14:08;18044.0195
14:08;18044.293
14:08;18044.6348
14:08;18044.669
14:08;18046.0022
14:08;18046.3099
14:08;18046.7682
14:08;18047.6849
14:08;18069.2265
14:08;18096.7264
14:08;18096.6102
14:08;18096.5301
14:08;18096.45
14:08;18096.4019
14:08;18096.6532
14:08;18097.1557
14:08;18097.407
14:08;18097.6582
14:08;18099.4171
14:08;18098.2255
14:08;18098.7847
14:08;18100.6865
14:08;18098.7847
14:06;18098.6023
14:06;18098.5834
14:06;18098.6148
14:06;18098.8343
14:06;18099.1478
14:05;18099.1667
14:05;18100.6675
14:04;18100.0226
14:04;18100.09
14:04;18101.3707
14:04;18101.4381
14:04;18101.5055
14:04;18103.258
14:01;18103.4404
14:00;18101.6205
14:00;18101.8381
13:59;18101.4096
13:59;18101.4409
13:59;18101.4723
13:59;18101.7231
13:58;18102.0367
13:58;18102.0392
13:58;18102.0441
13:58;18102.0367
13:57;18102.0681
13:57;18102.0994
13:57;18102.6952
13:56;18103.291
13:56;18103.3061
13:54;18103.3055
13:53;18099.4747
13:53;18097.9739
13:53;18095.9729
13:53;18095.9553
13:53;18095.9378
13:53;18095.9553
13:53;18094.986
13:53;18095.0487
13:53;18095.2996
13:52;18094.986
13:52;18095.0028
13:52;18095.6309
13:52;18095.6936
13:52;18095.6309
13:51;18097.5856
13:51;18098.1187
13:50;18098.1193
13:49;18098.2133
13:45;18098.2117
13:45;18098.149
13:44;18097.5845
13:44;18096.7178
13:41;18096.6504
13:41;18097.1521
13:41;18098.1526
13:40;18097.6509
13:40;18097.737
13:40;18097.6509
13:39;18097.4396
13:39;18097.9413
13:38;18098.1237
13:38;18098.1539
13:37;18098.1237
13:36;18101.7721
13:36;18101.7
13:36;18101.68
13:36;18101.66
13:36;18101.656
13:35;18101.2954
13:35;18101.2327
13:35;18097.5843
13:35;18097.647
13:34;18098.6475
13:33;18120.4836
13:33;18117.4733
13:33;18116.4227
13:33;18116.7675
13:31;18118.5122
13:31;18120.3937
13:31;18120.3623
13:31;18120.331
13:31;18119.7665
13:31;18119.7038
13:31;18119.6725
13:31;18118.8258
13:30;18118.5122
13:30;18118.4122
13:30;18118.3121
13:30;18118.012
13:30;18118.3121
13:29;18118.3959
13:29;18118.4563
13:28;18119.6032
13:27;18119.3855
13:27;18123.946
13:27;18121.2446
13:27;18121.6749
13:27;18122.2373
13:26;18117.6768
13:26;18122.2373
13:26;18120.7657
13:26;18119.6188
13:25;18118.8818
13:25;18118.8783
13:25;18118.8831
13:25;18118.6506
13:25;18118.8507
13:24;18121.352
13:24;18121.3822
13:24;18122.4989
13:23;18122.5008
13:23;18122.5977
13:23;18122.6068
13:22;18123.0371
13:22;18120.0219
13:22;18118.68
13:21;18120.0219
13:21;18119.1098
13:20;18118.4827
13:19;18115.7813
13:19;18115.5989
13:19;18112.1329
13:19;18108.5132
13:19;18108.5759
13:19;18109.1403
13:18;18111.6529
13:18;18111.0258
13:17;18111.0748
13:17;18109.9279
13:17;18109.9636
13:17;18109.9994
13:17;18110.003
13:17;18110.0352
13:17;18110.0709
13:17;18110.1425
13:17;18110.1782
13:17;18110.18
13:17;18110.1818
13:17;18110.1836
13:17;18110.1889
13:17;18110.1907
13:17;18110.1961
13:17;18110.1997
13:17;18110.1961
13:17;18110.2856
13:17;18110.1887
13:17;18110.0918
13:17;18109.8979
13:17;18109.4133
13:17;18109.0255
13:16;18108.4439
13:16;18107.1896
13:16;18107.2897
13:15;18109.891
13:15;18107.2897
13:15;18107.3072
13:15;18107.2072
13:15;18107.1758
13:14;18105.9529
13:14;18105.8855
13:13;18102.7174
13:12;18103.1177
13:12;18102.9914
13:12;18103.5386
13:12;18103.7211
13:12;18103.6607
13:11;18103.6352
13:11;18105.59
13:11;18105.3705
13:11;18104.9001
13:11;18104.3357
13:11;18106.6369
13:11;18106.6387
13:11;18106.6519
13:11;18108.2607
13:10;18109.8695
13:09;18108.5009
13:09;18108.484
13:09;18110.5971
13:09;18114.8233
13:09;18115.1838
13:09;18118.5961
13:08;18115.7947
13:08;18115.1675
13:07;18112.6549
13:07;18112.5922
13:07;18112.5295
13:06;18112.0277
13:06;18112.681
13:06;18112.8634
13:04;18115.5997
13:01;18114.9381
13:00;18114.6245
13:00;18115.625
13:00;18114.3765
12:58;18114.6901
12:56;18115.6022
12:54;18115.6201
12:54;18115.6219
12:54;18115.6238
12:53;18115.6559
12:53;18115.3423
12:49;18117.2433
12:47;18117.029
12:47;18117.0632
12:46;18116.3891
12:45;18116.8194
12:42;18117.1636
12:41;18118.4158
12:41;18117.1351
12:40;18119.9094
12:39;18120.1271
12:39;18118.2261
12:39;18118.228
12:38;18118.2827
12:38;18118.6845
12:38;18118.7486
12:37;18119.6195
12:36;18113.5866
12:36;18113.9002
12:36;18112.0188
12:36;18112.0467
12:36;18112.0228
12:35;18062.0646
12:35;18062.0745
12:35;18061.0694
12:35;18061.1008
12:35;18062.9508
12:35;18063.9559
12:35;18064.5625
12:35;18064.6974
12:35;18065.2366
12:35;18065.1876
12:35;18065.2046
12:35;18065.2366
12:35;18064.6974
12:35;18064.6897
12:35;18064.3998
12:35;18063.3315
12:35;18064.5448
12:35;18063.3315
12:35;18063.3296
12:35;18063.2128
12:35;18063.6149
12:35;18063.7357
12:35;18062.8236
12:35;18055.7092
12:35;18059.4314
12:35;18059.0292
12:35;18063.1542
12:35;18067.7375
12:35;18072.3208
12:35;18072.7791
12:35;18113.5706
12:35;18114.8192
12:35;18113.8187
12:35;18113.8205
12:35;18113.9374
12:35;18114.1396
12:35;18113.5125
12:34;18112.512
12:34;18111.2577
12:34;18111.3577
12:32;18113.2587
12:32;18115.4478
12:32;18115.8126
12:32;18115.995
12:31;18116.7247
12:30;18116.7331
12:30;18116.669
12:30;18116.8514
12:29;18116.669
12:29;18116.6693
12:29;18116.7541
12:28;18119.1999
12:28;18119.1139
12:25;18118.4254
12:25;18118.4726
12:25;18118.3734
12:23;18118.3106
12:23;18117.8089
12:23;18118.2111
12:23;18118.6133
12:23;18121.4287
12:23;18117.4067
12:23;18117.9084
12:21;18115.9074
12:21;18116.8195
12:21;18120.4679
12:19;18127.9592
12:19;18128.0266
12:19;18127.9592
12:19;18130.2228
12:18;18127.2125
12:17;18121.3751
12:17;18121.3667
12:17;18121.6179
12:17;18121.8692
12:17;18122.1205
12:17;18122.623
12:15;18123.8793
12:15;18124.1306
12:14;18124.3818
12:14;18123.8793
12:14;18123.9104
12:14;18125.9115
12:14;18126.7158
12:14;18127.118
12:13;18128.7268
12:13;18129.5312
12:13;18129.9334
12:13;18132.3465
12:13;18132.414
12:13;18133.3576
12:12;18133.0206
12:11;18133.4228
12:11;18133.4586
12:10;18133.8348
12:10;18133.3346
12:10;18129.8539
12:09;18128.3532
12:09;18128.4472
12:09;18128.9489
12:09;18129.0744
12:09;18129.1371
12:09;18129.2625
12:09;18129.5761
12:09;18130.2032
12:09;18130.2659
12:09;18130.2973
12:09;18130.3287
12:09;18130.36
12:09;18131.1439
12:09;18131.4575
12:09;18131.5202
12:09;18131.8024
12:09;18131.8338
12:09;18131.8965
12:09;18132.7118
12:09;18132.7745
12:09;18133.339
12:09;18133.6525
12:08;18134.5305
12:08;18134.2476
12:07;18133.3696
12:07;18139.207
12:07;18139.0463
12:07;18139.0061
12:07;18138.7248
12:07;18139.6028
12:07;18139.7028
12:07;18139.6028
12:05;18133.5829
12:04;18134.3574
12:04;18134.2947
12:03;18134.4201
12:03;18131.6047
12:03;18131.5878
12:03;18131.6878
12:03;18131.7879
12:03;18131.8879
12:02;18131.988
12:02;18132.325
12:01;18135.9269
12:01;18134.8703
12:01;18134.8682
12:01;18134.8679
12:01;18134.8655
12:01;18134.8389
12:01;18134.6565
12:00;18133.4043
12:00;18133.5868
11:59;18134.7783
11:59;18134.3481
11:59;18135.8074
11:58;18136.4179
11:58;18137.1656
11:57;18135.7063
11:57;18128.2151
11:57;18126.9665
